date,exit_date,coin,entry_price,exit_price,gross_ret,net_ret
2021-08-12,2021-08-14,XRP,0.964549,1.280412,0.327472,0.325472
2021-08-12,2021-08-14,DOGE,0.263921,0.293113,0.110609,0.108609
2021-08-15,2021-08-17,ADA,2.169153,1.926601,-0.111819,-0.113819
2021-08-16,2021-08-18,XRP,1.190993,1.146097,-0.037696,-0.039696
2021-08-16,2021-08-18,DOGE,0.320715,0.303739,-0.052932,-0.054932
2021-08-22,2021-08-24,AVAX,43.5322,55.345852,0.271377,0.269377
2021-08-24,2021-08-26,ADA,2.721091,2.535528,-0.068194,-0.070194
2021-08-25,2021-08-27,AVAX,46.115124,50.077789,0.08593,0.08393
2021-09-07,2021-09-09,XLM,0.334287,0.332299,-0.005947,-0.007947
2021-09-07,2021-09-09,LINK,28.11425,27.978628,-0.004824,-0.006824
2021-10-27,2021-10-29,DOGE,0.23769,0.287853,0.211044,0.209044
2021-11-10,2021-11-12,ADA,2.101802,2.045766,-0.026661,-0.028661
2021-11-10,2021-11-12,XLM,0.385255,0.379479,-0.014993,-0.016993
2021-11-18,2021-11-20,AVAX,100.252769,125.77063,0.254535,0.252535
2021-12-04,2021-12-06,LINK,20.667728,19.884268,-0.037907,-0.039907
2021-12-04,2021-12-06,XLM,0.289158,0.29604,0.0238,0.0218
2021-12-04,2021-12-06,DOGE,0.178853,0.1784,-0.002533,-0.004533
2022-01-06,2022-01-08,LINK,25.377213,25.4748,0.003845,0.001845
2022-01-06,2022-01-08,BNB,473.275604,430.246155,-0.090918,-0.092918
2022-01-07,2022-01-09,BTC,41557.902344,41911.601562,0.008511,0.006511
2022-01-18,2022-01-20,ADA,1.465541,1.258055,-0.141576,-0.143576
2022-01-22,2022-01-24,ADA,1.066716,1.066598,-0.000111,-0.002111
2022-02-24,2022-02-26,XRP,0.696272,0.750973,0.078563,0.076563
2022-02-24,2022-02-26,LINK,13.267228,14.69032,0.107264,0.105264
2022-02-24,2022-02-26,ADA,0.853425,0.887918,0.040417,0.038417
2022-02-24,2022-02-26,DOGE,0.123813,0.127647,0.030966,0.028966
2022-03-28,2022-03-30,DOGE,0.142657,0.14321,0.003876,0.001876
2022-04-06,2022-04-08,DOGE,0.143417,0.142549,-0.006052,-0.008052
2022-04-26,2022-04-28,DOGE,0.137767,0.137363,-0.002932,-0.004932
2022-05-09,2022-05-11,ETH,2245.43042,2072.108643,-0.077189,-0.079189
2022-05-09,2022-05-11,BTC,30296.953125,28936.355469,-0.044909,-0.046909
2022-05-09,2022-05-11,ADA,0.610088,0.5128,-0.159466,-0.161466
2022-05-11,2022-05-13,LINK,6.916927,7.147285,0.033304,0.031304
2022-05-11,2022-05-13,XRP,0.413376,0.423417,0.02429,0.02229
2022-05-11,2022-05-13,AVAX,30.962866,32.136429,0.037902,0.035902
2022-05-11,2022-05-13,XLM,0.125523,0.13191,0.050883,0.048883
2022-05-11,2022-05-13,BNB,269.962769,290.584198,0.076386,0.074386
2022-05-11,2022-05-13,DOGE,0.084581,0.088331,0.044336,0.042336
2022-05-12,2022-05-14,ETH,1961.701538,2056.273926,0.048209,0.046209
2022-05-12,2022-05-14,ADA,0.473746,0.539358,0.138496,0.136496
2022-06-13,2022-06-15,BTC,22487.388672,22572.839844,0.0038,0.0018
2022-06-13,2022-06-15,ETH,1204.582764,1233.206421,0.023762,0.021762
2022-06-13,2022-06-15,LINK,5.887119,7.324715,0.244194,0.242194
2022-06-13,2022-06-15,ADA,0.463133,0.533296,0.151496,0.149496
2022-06-13,2022-06-15,DOGE,0.053921,0.063,0.168376,0.166376
2022-07-20,2022-07-22,LINK,6.872341,6.811353,-0.008874,-0.010874
2022-08-09,2022-08-11,XRP,0.368101,0.380563,0.033855,0.031855
2022-09-18,2022-09-20,XRP,0.358323,0.415183,0.158684,0.156684
2022-09-21,2022-09-23,XLM,0.11101,0.123095,0.108864,0.106864
2022-09-21,2022-09-23,XRP,0.396828,0.507171,0.278062,0.276062
2022-09-24,2022-09-26,DOGE,0.063234,0.061089,-0.033922,-0.035922
2022-09-28,2022-09-30,LINK,7.814182,7.581146,-0.029822,-0.031822
2022-10-30,2022-11-01,DOGE,0.117802,0.142575,0.210293,0.208293
2022-11-02,2022-11-04,DOGE,0.12783,0.12628,-0.012126,-0.014126
2022-11-08,2022-11-10,BTC,18541.271484,17586.771484,-0.05148,-0.05348
2022-11-08,2022-11-10,AVAX,15.991605,15.386506,-0.037839,-0.039839
2022-11-08,2022-11-10,XLM,0.098977,0.097222,-0.017731,-0.019731
2022-11-08,2022-11-10,ETH,1332.835571,1299.4646,-0.025038,-0.027038
2022-11-08,2022-11-10,XRP,0.406242,0.395705,-0.025938,-0.027938
2022-11-08,2022-11-10,ADA,0.371834,0.368977,-0.007684,-0.009684
2022-11-08,2022-11-10,LINK,7.683034,7.214661,-0.060962,-0.062962
2022-11-08,2022-11-10,BNB,327.690277,304.080048,-0.07205,-0.07405
2022-12-13,2022-12-15,BNB,271.951691,258.273712,-0.050296,-0.052296
2023-01-12,2023-01-14,AVAX,15.45735,16.958057,0.097087,0.095087
2023-01-15,2023-01-17,AVAX,16.797117,17.126593,0.019615,0.017615
2023-01-18,2023-01-20,DOGE,0.080191,0.086403,0.077465,0.075465
2023-02-09,2023-02-11,LINK,6.983141,7.006326,0.00332,0.00132
2023-02-13,2023-02-15,BNB,294.475342,317.16922,0.077065,0.075065
2023-03-22,2023-03-24,ADA,0.360613,0.360083,-0.00147,-0.00347
2023-03-22,2023-03-24,BNB,321.887726,322.359344,0.001465,-0.000535
2023-03-22,2023-03-24,XRP,0.42248,0.425902,0.0081,0.0061
2023-04-02,2023-04-04,DOGE,0.079089,0.095159,0.203189,0.201189
2023-04-05,2023-04-07,DOGE,0.092817,0.082456,-0.111628,-0.113628
2023-04-20,2023-04-22,DOGE,0.083937,0.080375,-0.042437,-0.044437
2023-06-05,2023-06-07,BNB,276.889252,259.391449,-0.063194,-0.065194
2023-06-05,2023-06-07,XRP,0.510394,0.519628,0.018092,0.016092
2023-06-05,2023-06-07,DOGE,0.066573,0.0673,0.01092,0.00892
2023-06-07,2023-06-09,ADA,0.322278,0.295401,-0.083397,-0.085397
2023-06-10,2023-06-12,DOGE,0.06186,0.061459,-0.006482,-0.008482
2023-06-10,2023-06-12,BNB,239.089081,231.051437,-0.033618,-0.035618
2023-06-10,2023-06-12,AVAX,11.680258,11.520296,-0.013695,-0.015695
2023-06-10,2023-06-12,XLM,0.082332,0.08309,0.009207,0.007207
2023-06-10,2023-06-12,ADA,0.276194,0.275048,-0.004149,-0.006149
2023-06-10,2023-06-12,LINK,5.241125,5.163538,-0.014804,-0.016804
2023-06-13,2023-06-15,XRP,0.520086,0.480118,-0.076849,-0.078849
2023-06-28,2023-06-30,XLM,0.100411,0.110695,0.102419,0.100419
2023-07-14,2023-07-16,XRP,0.719157,0.74686,0.038522,0.036522
2023-07-14,2023-07-16,DOGE,0.068529,0.069554,0.014957,0.012957
2023-07-14,2023-07-16,XLM,0.134913,0.13168,-0.023964,-0.025964
2023-07-14,2023-07-16,LINK,6.944936,6.616025,-0.04736,-0.04936
2023-07-14,2023-07-16,ADA,0.328801,0.314884,-0.042327,-0.044327
2023-07-21,2023-07-23,LINK,8.142471,7.89574,-0.030302,-0.032302
2023-07-31,2023-08-02,BNB,241.120651,240.494644,-0.002596,-0.004596
2023-08-17,2023-08-19,ETH,1684.933472,1669.471924,-0.009176,-0.011176
2023-08-17,2023-08-19,BTC,26664.550781,26096.205078,-0.021315,-0.023315
2023-09-21,2023-09-23,DOGE,0.061346,0.061507,0.002625,0.000625
2023-09-21,2023-09-23,XLM,0.113848,0.114212,0.003197,0.001197
2023-10-07,2023-10-09,AVAX,10.363144,9.538162,-0.079607,-0.081607
2023-10-24,2023-10-26,ADA,0.278993,0.287292,0.029746,0.027746
2023-10-24,2023-10-26,AVAX,10.314807,11.052853,0.071552,0.069552
2023-10-24,2023-10-26,XLM,0.114321,0.113141,-0.010322,-0.012322
2023-10-24,2023-10-26,DOGE,0.066556,0.071867,0.079797,0.077797
2023-10-24,2023-10-26,LINK,10.394032,10.929611,0.051528,0.049528
2023-10-27,2023-10-29,DOGE,0.067881,0.069359,0.021773,0.019773
2023-11-07,2023-11-09,DOGE,0.073518,0.073461,-0.000775,-0.002775
2023-11-07,2023-11-09,XRP,0.686402,0.667475,-0.027574,-0.029574
2023-11-07,2023-11-09,ADA,0.351571,0.368335,0.047683,0.045683
2023-11-09,2023-11-11,LINK,14.635877,16.42251,0.122072,0.120072
2023-11-09,2023-11-11,AVAX,12.972376,16.788073,0.29414,0.29214
2023-11-09,2023-11-11,XLM,0.122959,0.124922,0.015965,0.013965
2023-11-10,2023-11-12,BNB,251.082367,247.640015,-0.01371,-0.01571
2023-11-11,2023-11-13,ADA,0.384564,0.358415,-0.067996,-0.069996
2023-11-13,2023-11-15,AVAX,16.219933,20.734653,0.278344,0.276344
2023-11-16,2023-11-18,ADA,0.371766,0.377694,0.015946,0.013946
2023-11-18,2023-11-20,DOGE,0.080383,0.077879,-0.031151,-0.033151
2023-11-21,2023-11-23,BNB,226.486404,233.765808,0.032141,0.030141
2023-12-11,2023-12-13,DOGE,0.094384,0.096428,0.021656,0.019656
2023-12-11,2023-12-13,ADA,0.551021,0.665244,0.207293,0.205293
2023-12-12,2023-12-14,AVAX,37.430912,39.305656,0.050085,0.048085
2023-12-14,2023-12-16,ADA,0.643478,0.607609,-0.055742,-0.057742
2024-01-03,2024-01-05,XRP,0.58258,0.576486,-0.01046,-0.01246
2024-02-20,2024-02-22,DOGE,0.086143,0.084089,-0.023844,-0.025844
2024-02-28,2024-03-01,XRP,0.575811,0.60189,0.045291,0.043291
2024-02-28,2024-03-01,XLM,0.121081,0.127149,0.050115,0.048115
2024-02-29,2024-03-02,BTC,61198.382812,62029.847656,0.013586,0.011586
2024-03-05,2024-03-07,AVAX,39.500137,43.290005,0.095946,0.093946
2024-03-05,2024-03-07,BTC,63801.199219,66925.484375,0.048969,0.046969
2024-03-05,2024-03-07,ETH,3554.9646,3874.347656,0.089841,0.087841
2024-03-05,2024-03-07,LINK,19.010521,20.127426,0.058752,0.056752
2024-03-05,2024-03-07,DOGE,0.153937,0.158121,0.02718,0.02518
2024-03-05,2024-03-07,BNB,394.661743,475.290649,0.204299,0.202299
2024-03-05,2024-03-07,XRP,0.592901,0.628624,0.060251,0.058251
2024-03-05,2024-03-07,ADA,0.69349,0.744742,0.073904,0.071904
2024-03-05,2024-03-07,XLM,0.132399,0.142191,0.073958,0.071958
2024-03-11,2024-03-13,LINK,21.289614,20.768188,-0.024492,-0.026492
2024-03-14,2024-03-16,AVAX,54.059368,53.499805,-0.010351,-0.012351
2024-03-14,2024-03-16,BNB,602.988708,576.775208,-0.043473,-0.045473
2024-03-19,2024-03-21,AVAX,53.525894,53.865566,0.006346,0.004346
2024-04-13,2024-04-15,LINK,13.345825,13.582573,0.017739,0.015739
2024-04-13,2024-04-15,XLM,0.105686,0.107625,0.018347,0.016347
2024-06-07,2024-06-09,ADA,0.449643,0.444106,-0.012314,-0.014314
2024-06-07,2024-06-09,XRP,0.498951,0.498583,-0.000738,-0.002738
2024-06-18,2024-06-20,XLM,0.091372,0.093913,0.027809,0.025809
2024-07-05,2024-07-07,ADA,0.349885,0.346618,-0.009337,-0.011337
2024-07-05,2024-07-07,ETH,2981.598633,2929.387207,-0.017511,-0.019511
2024-07-05,2024-07-07,BTC,56662.375,55849.109375,-0.014353,-0.016353
2024-07-05,2024-07-07,LINK,12.305856,12.351335,0.003696,0.001696
2024-07-05,2024-07-07,XLM,0.085522,0.08389,-0.019083,-0.021083
2024-07-18,2024-07-20,XRP,0.569574,0.594651,0.044028,0.042028
2024-07-22,2024-07-24,XLM,0.103493,0.10295,-0.005247,-0.007247
2024-08-05,2024-08-07,AVAX,19.549341,19.829348,0.014323,0.012323
2024-08-05,2024-08-07,ADA,0.313155,0.323698,0.033667,0.031667
2024-08-05,2024-08-07,LINK,9.50157,9.485442,-0.001697,-0.003697
2024-08-05,2024-08-07,BNB,464.626923,474.224762,0.020657,0.018657
2024-08-05,2024-08-07,DOGE,0.094503,0.095515,0.010709,0.008709
2024-08-05,2024-08-07,ETH,2417.206299,2336.589355,-0.033351,-0.035351
2024-08-05,2024-08-07,XRP,0.489466,0.60081,0.227481,0.225481
2024-08-05,2024-08-07,BTC,53991.457031,55027.460938,0.019188,0.017188
2024-08-05,2024-08-07,XLM,0.088085,0.101395,0.151104,0.149104
2024-10-01,2024-10-03,XRP,0.59753,0.521953,-0.126482,-0.128482
2024-10-01,2024-10-03,AVAX,25.866516,24.653477,-0.046896,-0.048896
2024-11-12,2024-11-14,ADA,0.573918,0.580116,0.010799,0.008799
2024-11-12,2024-11-14,LINK,14.004613,12.971003,-0.073805,-0.075805
2024-11-12,2024-11-14,BTC,87955.8125,87250.429688,-0.00802,-0.01002
2024-11-12,2024-11-14,ETH,3246.257324,3058.94873,-0.0577,-0.0597
2024-11-12,2024-11-14,AVAX,34.046734,31.160669,-0.084768,-0.086768
2024-11-13,2024-11-15,XLM,0.124325,0.146257,0.176409,0.174409
2024-11-13,2024-11-15,XRP,0.690288,0.892091,0.292346,0.290346
2024-11-14,2024-11-16,DOGE,0.361646,0.363748,0.005812,0.003812
2024-11-17,2024-11-19,XLM,0.196416,0.232009,0.181212,0.179212
2024-11-17,2024-11-19,XRP,1.054335,1.101947,0.045158,0.043158
2024-11-17,2024-11-19,AVAX,34.738087,34.274109,-0.013356,-0.015356
2024-11-23,2024-11-25,XRP,1.469008,1.415423,-0.036477,-0.038477
2024-11-23,2024-11-25,AVAX,41.489986,41.396076,-0.002263,-0.004263
2024-11-25,2024-11-27,XLM,0.483133,0.482505,-0.0013,-0.0033
2024-12-02,2024-12-04,XLM,0.536644,0.490277,-0.086402,-0.088402
2024-12-03,2024-12-05,XRP,2.525527,2.295206,-0.091197,-0.093197
2024-12-03,2024-12-05,ADA,1.198126,1.184712,-0.011196,-0.013196
2024-12-03,2024-12-05,AVAX,50.999489,50.819782,-0.003524,-0.005524
2024-12-03,2024-12-05,LINK,24.217163,23.400967,-0.033703,-0.035703
2024-12-09,2024-12-11,LINK,22.346537,24.09306,0.078156,0.076156
2025-01-16,2025-01-18,XLM,0.482309,0.490951,0.017918,0.015918
2025-01-19,2025-01-21,DOGE,0.357757,0.371577,0.03863,0.03663
2025-01-19,2025-01-21,ETH,3208.964355,3327.40625,0.03691,0.03491
2025-01-19,2025-01-21,ADA,0.991191,1.004654,0.013583,0.011583
2025-02-03,2025-02-05,BNB,617.120789,569.746887,-0.076766,-0.078766
2025-02-13,2025-02-15,BNB,668.277527,662.327698,-0.008903,-0.010903
2025-02-25,2025-02-27,BTC,88736.171875,84704.226562,-0.045437,-0.047437
2025-03-03,2025-03-05,ADA,0.855264,0.975356,0.140415,0.138415
2025-03-07,2025-03-09,ADA,0.8168,0.720149,-0.118329,-0.120329
2025-03-07,2025-03-09,LINK,15.938859,13.773411,-0.13586,-0.13786
2025-04-07,2025-04-09,ETH,1555.240967,1668.040039,0.072528,0.070528
2025-04-07,2025-04-09,XRP,1.897754,2.051738,0.08114,0.07914
2025-05-07,2025-05-09,ETH,1811.606689,2345.507324,0.294711,0.292711
2025-05-11,2025-05-13,DOGE,0.231508,0.241215,0.041929,0.039929
2025-05-12,2025-05-14,LINK,16.732389,17.013014,0.016771,0.014771
2025-07-14,2025-07-16,DOGE,0.197431,0.212747,0.077576,0.075576
2025-07-14,2025-07-16,ADA,0.734336,0.764549,0.041143,0.039143
2025-07-14,2025-07-16,XLM,0.463649,0.453715,-0.021426,-0.023426
2025-07-18,2025-07-20,ADA,0.815857,0.858745,0.052568,0.050568
2025-07-18,2025-07-20,XLM,0.459222,0.463234,0.008737,0.006737
2025-07-18,2025-07-20,XRP,3.418212,3.459529,0.012087,0.010087
2025-07-18,2025-07-20,AVAX,23.524817,25.073538,0.065834,0.063834
2025-07-18,2025-07-20,LINK,17.843006,19.305149,0.081945,0.079945
2025-07-21,2025-07-23,DOGE,0.271719,0.240649,-0.114346,-0.116346
2025-07-23,2025-07-25,XRP,3.18493,3.14172,-0.013567,-0.015567
2025-07-23,2025-07-25,BNB,776.640442,785.606445,0.011545,0.009545
2025-08-14,2025-08-16,LINK,22.479765,22.652239,0.007672,0.005672
2025-08-19,2025-08-21,LINK,23.518341,24.785217,0.053868,0.051868
2025-09-23,2025-09-25,AVAX,33.65406,28.660616,-0.148376,-0.150376
2025-10-08,2025-10-10,BNB,1306.599365,1106.89856,-0.15284,-0.15484
2025-10-10,2025-10-12,XRP,2.358597,2.534958,0.074774,0.072774
2025-10-10,2025-10-12,DOGE,0.193155,0.207795,0.075794,0.073794
2025-10-10,2025-10-12,ADA,0.634835,0.701505,0.105019,0.103019
2025-10-10,2025-10-12,XLM,0.318309,0.342208,0.075081,0.073081
2025-10-10,2025-10-12,BTC,113214.367188,115169.765625,0.017272,0.015272
2025-10-10,2025-10-12,ETH,3843.008789,4164.427734,0.083637,0.081637
2025-10-10,2025-10-12,LINK,17.354767,19.047707,0.097549,0.095549
2025-10-13,2025-10-15,BNB,1293.473267,1162.691772,-0.101109,-0.103109
