date,exit_date,coin,entry_price,exit_price,gross_ret,net_ret,btc_ret
2019-02-24,2019-03-03,ADA,0.0424560010433197,0.04231199994683266,-0.0033917724926593174,-0.005391772492659317,0.009644138645809708
2019-03-21,2019-03-28,ADA,0.05290000140666962,0.06582800298929214,0.24438565668908607,0.24238565668908607,0.009872684540705334
2019-04-03,2019-04-10,ETH,161.45880126953125,177.3374786376953,0.09834507158056383,0.09634507158056382,0.07068735812733329
2019-04-03,2019-04-10,XRP,0.3422339856624603,0.3547919988632202,0.03669423180299125,0.03469423180299125,0.07068735812733329
2019-04-04,2019-04-11,ADA,0.08737000077962875,0.08338499814271927,-0.04561065126874342,-0.04761065126874342,0.028782196833689655
2019-04-05,2019-04-12,DOGE,0.003590000094845891,0.002856000093743205,-0.20445681941804927,-0.20645681941804928,0.01049459129086494
2019-05-07,2019-05-14,LINK,0.5447239875793457,0.8230819702148438,0.5110073890310398,0.5090073890310398,0.3713721600101316
2019-05-16,2019-05-23,XRP,0.4197070002555847,0.3812040090560913,-0.09173778654167464,-0.09373778654167464,-0.0003884001616517585
2019-05-16,2019-05-23,ADA,0.08816099911928177,0.08068999648094177,-0.08474271744846873,-0.08674271744846873,-0.0003884001616517585
2019-05-17,2019-05-24,LINK,0.8877310156822205,1.336959958076477,0.5060417338792929,0.5040417338792929,0.0876205378377477
2019-05-25,2019-06-01,LINK,1.1293120384216309,0.9651319980621338,-0.14538058107390872,-0.14738058107390872,0.06351690344362981
2019-06-14,2019-06-21,LINK,1.676558017730713,1.7028709650039673,0.015694623743990777,0.013694623743990776,0.1668681272700825
2019-06-30,2019-07-07,LINK,3.4468889236450195,3.3143560886383057,-0.03844998720369641,-0.040449987203696414,0.058582075437715764
2019-08-25,2019-09-01,ADA,0.04943900182843208,0.04454300180077553,-0.09903112616729437,-0.10103112616729437,-0.03753476502532016
2019-09-19,2019-09-26,XRP,0.3024410009384155,0.24378399550914764,-0.19394528270726064,-0.19594528270726064,-0.20917206809331357
2019-09-19,2019-09-26,ADA,0.05250399932265282,0.03822899982333183,-0.27188404090128127,-0.27388404090128127,-0.20917206809331357
2019-09-19,2019-09-26,XLM,0.081386998295784,0.05850699916481972,-0.28112597355921287,-0.2831259735592129,-0.20917206809331357
2019-09-24,2019-10-01,LINK,1.7358089685440063,1.8393080234527588,0.05962583255665921,0.05762583255665921,-0.032166104406023965
